order_id,customer_id,product_id,order_date,quantity,unit_price,discount,shipping_cost,payment_method,sales_channel,order_status
O000001,C01567,P0091,2025-01-29,1,15539.37,0.093,87.12,Net Banking,Website,Completed
O000002,C09436,P0059,2025-08-17,2,19575.26,0.064,167.24,UPI,Website,Pending
O000003,C03518,P0329,2025-04-30,2,4170.45,0.091,268.17,Credit Card,Website,Cancelled
O000004,C04986,P0172,2025-08-10,4,14404.74,0.17,179.96,Credit Card,Marketplace,Returned
O000005,C02839,P0153,2025-01-06,3,486.62,0.152,225.53,Debit Card,Marketplace,Returned
O000006,C05843,P0220,2026-08-21,2,19863.01,0.067,377.8,Credit Card,Mobile App,Returned
O000007,C04534,P0326,2025-09-06,6,18915.78,0.118,454.36,Net Banking,Marketplace,Cancelled
O000008,C01510,P0091,2026-02-19,5,15539.37,0.118,131.39,Debit Card,Marketplace,Pending
O000009,C04383,P0197,2025-03-09,4,23668.59,0.093,179.61,COD,Mobile App,Pending
O000010,C06825,P0190,2026-09-27,2,10850.16,0.218,265.23,COD,Mobile App,Completed
O000011,C06625,P0137,2025-09-13,4,23734.46,0.196,197.35,Net Banking,Marketplace,Cancelled
O000012,C06453,P0082,2025-10-05,3,6994.34,0.22,393.18,COD,Marketplace,Cancelled
O000013,C06681,P0342,2026-12-17,2,28066.65,0.085,289.37,Credit Card,Marketplace,Cancelled
O000014,C06362,P0383,2026-12-26,2,7014.55,0.039,117.22,COD,Marketplace,Pending
O000015,C07499,P0153,2026-10-19,1,486.62,0.085,59.26,COD,Website,Pending
O000016,C08988,P0166,2026-02-25,3,22450.02,0.053,336.49,Debit Card,Marketplace,Returned
O000017,C06444,P0127,2025-04-14,6,26821.89,0.144,218.22,Net Banking,Website,Cancelled
O000018,C08952,P0290,2026-09-16,4,2763.29,0.148,133.45,UPI,Mobile App,Completed
O000019,C06450,P0182,2025-04-14,2,24570.99,0.168,260.04,Net Banking,Marketplace,Pending
O000020,C03412,P0356,2026-05-25,4,6820.11,0.022,137.52,COD,Website,Returned
O000021,C01564,P0031,2025-01-05,4,11370.65,0.173,392.01,Debit Card,Marketplace,Returned
O000022,C09109,P0418,2025-01-20,4,23644.69,0.24,453.84,Credit Card,Mobile App,Cancelled
O000023,C06525,P0294,2025-10-20,2,3631.35,0.029,490.02,Credit Card,Marketplace,Cancelled
O000024,C02362,P0401,2025-10-12,4,1309.16,0.099,175.19,Net Banking,Marketplace,Pending
O000025,C03134,P0199,2025-07-30,6,4559.42,0.074,380.31,Net Banking,Website,Returned
O000026,C04925,P0072,2026-08-26,6,21918.19,0.233,433.08,UPI,Website,Returned
O000027,C01800,P0421,2025-03-23,5,5934.8,0.066,426.31,Credit Card,Marketplace,Returned
O000028,C06718,P0360,2025-04-01,4,17129.85,0.18,292.24,COD,Marketplace,Completed
O000029,C03616,P0211,2025-12-03,6,8433.5,0.222,127.61,Net Banking,Website,Completed
O000030,C00452,P0054,2026-08-08,4,17063.25,0.027,187.95,UPI,Mobile App,Pending
O000031,C03190,P0291,2025-03-25,5,8040.73,0.068,300.85,Credit Card,Website,Cancelled
O000032,C07898,P0498,2026-03-06,3,14859.3,0.054,460.47,Credit Card,Marketplace,Cancelled
O000033,C04347,P0274,2026-07-13,1,14363.87,0.07,416.25,UPI,Marketplace,Completed
O000034,C00618,P0489,2025-08-10,1,22033.69,0.216,256.94,UPI,Mobile App,Completed
O000035,C09672,P0054,2026-11-02,4,17063.25,0.003,155.8,UPI,Website,Completed
O000036,C02467,P0435,2025-02-09,3,7634.93,0.164,462.9,Net Banking,Marketplace,Returned
O000037,C00541,P0437,2026-07-12,4,16080.98,0.231,214.02,UPI,Marketplace,Completed
O000038,C04225,P0127,2025-07-25,3,26821.89,0.036,478.29,Net Banking,Marketplace,Cancelled
O000039,C03433,P0155,2025-03-03,5,26074.61,0.065,94.85,Debit Card,Website,Completed
