product_id,product_name,category,subcategory,supplier,cost_price,selling_price
P0001,Product 1,Books,Fiction,Nova Traders,2271.05,3665.28
P0002,Product 2,Home & Kitchen,Furniture,Alpha Supply,14742.6,23104.95
P0003,Product 3,Sports,Fitness,Nova Traders,8467.34,9326.39
P0004,Product 4,Sports,Team Sports,Global Goods,12060.27,17898.6
P0005,Product 5,Beauty,Skincare,Nova Traders,4447.79,6690.68
P0006,Product 6,Books,Fiction,Prime Wholesale,8481.16,10856.46
P0007,Product 7,Electronics,Laptops,Global Goods,1900.28,2184.63
P0008,Product 8,Fashion,Accessories,Alpha Supply,16152.21,25930.87
P0009,Product 9,Beauty,Haircare,Global Goods,1622.06,2094.22
P0010,Product 10,Fashion,Men,Nova Traders,11568.18,18362.08
P0011,Product 11,Fashion,Men,Urban Source,19705.17,33416.59
P0012,Product 12,Fashion,Men,Prime Wholesale,9095.54,15285.6
P0013,Product 13,Fashion,Accessories,Alpha Supply,4229.67,5381.09
P0014,Product 14,Sports,Fitness,Nova Traders,12717.82,18626.27
P0015,Product 15,Beauty,Haircare,Global Goods,7620.14,13658.77
P0016,Product 16,Home & Kitchen,Appliances,Nova Traders,13708.05,23123.47
P0017,Product 17,Electronics,Phones,Nova Traders,16110.66,22052.89
P0018,Product 18,Sports,Team Sports,Urban Source,17533.53,22908.75
P0019,Product 19,Beauty,Skincare,Prime Wholesale,17699.43,27307.62
P0020,Product 20,Home & Kitchen,Cookware,Global Goods,4970.22,7376.73
P0021,Product 21,Beauty,Skincare,Nova Traders,17961.57,24563.67
P0022,Product 22,Sports,Fitness,Nova Traders,9895.64,16072.13
P0023,Product 23,Books,Technology,Alpha Supply,3241.64,5089.2
P0024,Product 24,Beauty,Haircare,Prime Wholesale,7663.3,13772.54
P0025,Product 25,Sports,Team Sports,Alpha Supply,17222.56,18742.73
P0026,Product 26,Books,Technology,Prime Wholesale,17701.53,28687.67
P0027,Product 27,Electronics,Phones,Prime Wholesale,5905.33,7050.22
P0028,Product 28,Sports,Fitness,Prime Wholesale,-100.0,22046.01
P0029,Product 29,Books,Business,Nova Traders,10177.87,12449.73
P0030,Product 30,Sports,Fitness,Global Goods,19072.32,33265.04
P0031,Product 31,Fashion,Women,Prime Wholesale,9797.68,11370.65
P0032,Product 32,Home & Kitchen,Appliances,Alpha Supply,1205.61,2064.21
P0033,Product 33,Books,Technology,Nova Traders,9745.51,11010.8
P0034,Product 34,Home & Kitchen,Appliances,Prime Wholesale,13212.03,23276.04
P0035,Product 35,Sports,Fitness,Global Goods,17455.04,24169.28
P0036,Product 36,Books,Business,Prime Wholesale,13812.86,22008.35
P0037,Product 37,Beauty,Skincare,Nova Traders,17997.3,25287.47
P0038,Product 38,Electronics,Phones,Global Goods,6794.81,10216.56
P0039,Product 39,Home & Kitchen,Appliances,Nova Traders,193.46,307.53
P0040,Product 40,Electronics,Phones,Global Goods,18113.13,30773.08
P0041,Product 41,Home & Kitchen,Furniture,Nova Traders,5605.62,8013.23
P0042,Product 42,Books,Business,Nova Traders,18713.51,27904.67
P0043,Product 43,Beauty,Skincare,,16159.57,19667.73
P0044,Product 44,Fashion,Accessories,Alpha Supply,8500.39,12038.74
P0045,Product 45,Books,Fiction,Urban Source,13086.44,20221.81
P0046,Product 46,Books,Fiction,Nova Traders,6819.09,11595.21
P0047,Product 47,Home & Kitchen,Appliances,Prime Wholesale,10748.9,12693.71
P0048,Product 48,Beauty,Makeup,Global Goods,5033.64,8782.45
P0049,Product 49,Electronics,Phones,Alpha Supply,1059.24,1906.08
P0050,Product 50,Home & Kitchen,Appliances,Urban Source,3367.91,4814.97
P0051,Product 51,Electronics,Laptops,Prime Wholesale,3334.51,3606.45
P0052,Product 52,Beauty,Haircare,Global Goods,5740.72,9079.21
P0053,Product 53,Books,Business,Nova Traders,14382.25,17135.79
P0054,Product 54,Electronics,Audio,Prime Wholesale,11604.65,17063.25
P0055,Product 55,Electronics,Audio,Nova Traders,1050.34,1494.94
P0056,Product 56,Electronics,Phones,Alpha Supply,19217.54,21863.42
P0057,Product 57,Sports,Outdoor,Alpha Supply,1405.82,2390.61
P0058,Product 58,Sports,Team Sports,Alpha Supply,4962.0,7482.96
P0059,Product 59,Beauty,Makeup,Prime Wholesale,13164.59,19575.26
P0060,Product 60,Home & Kitchen,Cookware,Urban Source,13411.03,17517.65
P0061,Product 61,Home & Kitchen,Cookware,Alpha Supply,13450.22,17431.46
P0062,Product 62,Electronics,Phones,Alpha Supply,9192.8,16536.81
P0063,Product 63,Sports,Outdoor,Alpha Supply,4302.43,5468.15
P0064,Product 64,Home & Kitchen,Furniture,Prime Wholesale,7422.07,8858.82
P0065,Product 65,Sports,Team Sports,Alpha Supply,19677.87,32687.15
P0066,Product 66,Books,Technology,Alpha Supply,16351.23,21183.88
P0067,Product 67,Home & Kitchen,Furniture,Global Goods,5326.1,0.0
P0068,Product 68,Home & Kitchen,Furniture,Prime Wholesale,5483.35,8309.89
P0069,Product 69,Home & Kitchen,Furniture,Urban Source,13765.57,23320.21
P0070,Product 70,Fashion,Men,Urban Source,18111.46,30593.78
P0071,Product 71,Fashion,Men,Prime Wholesale,929.53,1227.13
P0072,Product 72,Home & Kitchen,Cookware,Global Goods,14837.56,21918.19
P0073,Product 73,Electronics,Audio,Nova Traders,2281.88,4017.11
P0074,Product 74,electronic,Team Sports,Nova Traders,768.76,1034.62
P0075,Product 75,Beauty,Skincare,Prime Wholesale,2592.54,3375.35
P0076,Product 76,Home & Kitchen,Cookware,Global Goods,13657.23,21307.9
P0077,Product 77,Beauty,Skincare,Nova Traders,19478.05,31547.11
P0078,Product 78,Home & Kitchen,Furniture,Prime Wholesale,17634.25,19359.69
P0079,Product 79,Beauty,Skincare,Prime Wholesale,16054.59,27326.94
P0080,Product 80,Home & Kitchen,Appliances,Urban Source,15758.12,18245.21
P0081,Product 81,Home & Kitchen,Cookware,Prime Wholesale,4031.48,7019.96
P0082,Product 82,Home & Kitchen,Cookware,Prime Wholesale,4497.32,6994.34
P0083,Product 83,Fashion,Women,,17293.84,30716.63
P0084,Product 84,Books,Technology,Prime Wholesale,10212.64,16026.22
P0085,Product 85,Electronics,Phones,Global Goods,2351.07,4181.82
P0086,Product 86,Fashion,Women,Prime Wholesale,813.23,1227.6
P0087,Product 87,Beauty,Makeup,Global Goods,12143.87,17587.05
P0088,Product 88,Home & Kitchen,Appliances,Global Goods,5131.71,8161.09
P0089,Product 89,Sports,Team Sports,Nova Traders,13752.8,24163.52
P0090,Product 90,Fashion,Women,Global Goods,8654.38,15259.31
P0091,Product 91,Fashion,Women,Global Goods,13284.58,15539.37
P0092,Product 92,Fashion,Accessories,Prime Wholesale,13354.51,17559.2
P0093,Product 93,Sports,Outdoor,Nova Traders,2589.39,3580.4
P0094,Product 94,Sports,Fitness,Prime Wholesale,11403.65,15650.07
P0095,Product 95,Fashion,Accessories,Prime Wholesale,4243.14,6983.13
P0096,Product 96,Beauty,Haircare,Urban Source,8863.63,13884.45
P0097,Product 97,Books,Technology,Global Goods,3435.34,3919.9
P0098,Product 98,Fashion,Men,Prime Wholesale,1913.07,3377.41
P0099,Product 99,Home & Kitchen,Appliances,Nova Traders,16140.93,19144.67
P0100,Product 100,Beauty,Makeup,Urban Source,12244.92,19999.78
P0101,Product 101,Books,Business,Urban Source,11534.63,18423.22
P0102,Product 102,Beauty,Skincare,Alpha Supply,4917.49,7633.72
P0103,Product 103,Beauty,Haircare,Global Goods,4415.88,7325.76
P0104,Product 104,Beauty,Skincare,Urban Source,1051.86,1324.74
P0105,Product 105,electronics,Furniture,Global Goods,16038.26,25030.21
P0106,Product 106,Fashion,Accessories,Global Goods,19003.29,32720.37
P0107,Product 107,Beauty,Skincare,Urban Source,16619.85,24505.43
P0108,Product 108,Beauty,Haircare,Prime Wholesale,5220.87,6567.92
P0109,Product 109,Sports,Outdoor,Alpha Supply,9717.71,12169.07
P0110,Product 110,Books,Business,Global Goods,5750.28,7335.26
P0111,Product 111,Electronics,Audio,Nova Traders,2810.56,3503.39
