return_id,order_id,return_date,return_reason,refund_amount
R000001,O017760,2025-07-24,Damaged,19282.64
R000002,O045372,2025-04-02,Wrong Item,21916.57
R000003,O026899,2025-08-18,Late Delivery,21077.78
R000004,O019178,2026-03-06,Quality Issue,18039.33
R000005,O015494,2026-12-29,Damaged,8335.03
R000006,O030671,2025-07-21,Late Delivery,11970.43
R000007,O014651,2026-07-15,Quality Issue,5245.0
R000008,O035533,2026-12-16,Changed Mind,22861.13
R000009,O008230,2025-01-23,Late Delivery,9580.0
R000010,O027310,2025-04-27,Late Delivery,11106.57
R000011,O036894,2026-02-13,Wrong Item,23470.05
R000012,O021529,2025-12-07,Quality Issue,7681.78
R000013,O029352,2025-02-19,Changed Mind,17245.6
R000014,O015147,2025-06-21,Changed Mind,738.86
R000015,O037546,2026-06-29,Damaged,4232.75
R000016,O035821,2026-09-17,Changed Mind,23492.52
R000017,O019178,2026-11-16,Late Delivery,8509.75
R000018,O048002,2026-10-13,Late Delivery,24654.8
R000019,O021987,2025-09-30,Damaged,2019.56
R000020,O030534,2025-05-25,Changed Mind,1241.09
R000021,O043409,2026-05-24,Damaged,22816.88
R000022,O017178,2025-12-09,Changed Mind,9260.17
R000023,O033251,2026-09-23,Quality Issue,3209.79
R000024,O038849,2025-10-04,Quality Issue,9318.53
R000025,O021531,2025-10-28,Wrong Item,8741.74
R000026,O031391,2025-07-07,Quality Issue,6984.22
R000027,O010777,2026-07-03,Late Delivery,24981.65
R000028,O037524,2025-02-16,Quality Issue,24037.87
R000029,O004375,2026-07-14,Late Delivery,5859.31
R000030,O001615,2025-09-25,Changed Mind,550.41
R000031,O035563,2025-06-08,Quality Issue,1569.73
R000032,O038299,2025-06-09,Wrong Item,11074.46
R000033,O002828,2026-01-01,Changed Mind,14024.15
R000034,O020837,2026-03-22,Quality Issue,3967.07
R000035,O006742,2026-09-13,Damaged,13713.01
R000036,O006235,2026-05-09,Wrong Item,18132.12
R000037,O024654,2025-05-04,Quality Issue,4000.8
R000038,O042832,2026-07-29,Changed Mind,2540.28
R000039,O012668,2025-02-24,Wrong Item,21769.74
R000040,O035182,2026-03-12,Damaged,4080.83
R000041,O013761,2026-11-21,Wrong Item,17367.85
R000042,O002329,2025-06-16,Damaged,5596.31
R000043,O024454,2025-01-16,Wrong Item,23288.18
R000044,O041974,2026-05-10,Changed Mind,1299.2
R000045,O038267,2026-02-28,Quality Issue,-500.0
R000046,O003487,2025-08-17,Quality Issue,17659.89
R000047,O008335,2026-12-14,Wrong Item,1162.05
R000048,O036059,2026-10-21,Damaged,24024.93
R000049,O013137,2025-06-12,Late Delivery,18171.47
R000050,O008132,2026-02-08,Quality Issue,2471.49
R000051,O014109,2025-07-27,Wrong Item,8991.29
R000052,O036606,2025-10-09,Late Delivery,2289.68
R000053,O011264,2025-04-16,Wrong Item,18479.0
R000054,O017294,2025-01-26,Wrong Item,15116.18
R000055,O004281,2026-05-12,Damaged,21582.99
R000056,O007448,2025-07-21,Damaged,2518.61
R000057,O020985,2026-01-12,Changed Mind,9789.14
R000058,O012134,2026-12-31,Damaged,17418.37
R000059,O032164,2026-12-11,Changed Mind,3059.46
R000060,O030130,2025-05-08,Wrong Item,24043.01
R000061,O049356,2026-12-07,Wrong Item,7968.32
R000062,O041748,2025-05-09,Changed Mind,16893.74
R000063,O038470,2026-07-09,Wrong Item,9759.03
R000064,O013535,2025-01-17,Damaged,20220.22
R000065,O023193,2026-11-07,Changed Mind,7921.74
R000066,O000757,2026-02-28,Late Delivery,461.54
R000067,O038915,2025-04-14,Changed Mind,4293.86
R000068,O018819,2026-02-15,Damaged,21830.93
R000069,O042458,2026-08-15,Wrong Item,2327.01
R000070,O015259,2026-04-15,Wrong Item,18350.8
R000071,O048254,2026-03-21,Late Delivery,5838.11
R000072,O017375,2025-10-26,Changed Mind,14983.57
R000073,O020365,2026-01-05,Damaged,4531.16
R000074,O048710,2026-10-17,Quality Issue,7010.66
R000075,O020144,2026-08-10,Late Delivery,4935.79
R000076,O031990,2025-01-06,Changed Mind,18825.37
R000077,O035672,2026-11-08,Late Delivery,12863.75
R000078,O001481,2026-08-18,Late Delivery,20141.79
R000079,O001707,2025-04-19,Changed Mind,17702.04
R000080,O008205,2026-03-31,Late Delivery,1156.49
R000081,O048889,2026-04-29,Late Delivery,11514.01
R000082,O044924,2025-12-11,Wrong Item,2083.65
R000083,O007762,2026-06-04,Quality Issue,6673.26
R000084,O031364,2025-02-13,Quality Issue,13372.56
R000085,O042723,2026-02-02,Quality Issue,11732.33
R000086,O028581,2025-05-20,Wrong Item,10203.19
R000087,O020297,2025-04-21,Damaged,19259.69
R000088,O038088,2026-07-28,Wrong Item,14775.31
R000089,O018048,2026-07-25,Damaged,24318.02
R000090,O008863,2026-09-19,Late Delivery,16880.96
R000091,O026176,2026-04-14,Damaged,7663.76
R000092,O047671,2026-01-29,Damaged,2625.52
R000093,O021033,2025-11-12,Damaged,21626.57
R000094,O014635,2026-08-19,Quality Issue,10541.45
R000095,O008339,2025-10-04,Late Delivery,2750.83
R000096,O049387,2026-08-08,Quality Issue,23412.04
R000097,O007706,2025-04-14,Wrong Item,6277.97
R000098,O037911,2025-10-28,Wrong Item,1640.11
R000099,O005574,2026-02-25,Quality Issue,8434.57
R000100,O036554,2025-10-01,Damaged,3381.4
R000101,O017566,2025-05-29,Changed Mind,8393.96
R000102,O005299,2026-05-04,Late Delivery,12184.65
R000103,O013789,2026-06-02,Changed Mind,4098.65
R000104,O021661,2026-11-04,Wrong Item,9456.88
R000105,O011351,2026-04-15,Wrong Item,24775.31
R000106,O009450,2026-06-19,Late Delivery,9909.3
R000107,O025432,2025-07-07,Late Delivery,9666.69
R000108,O024800,2025-06-01,Wrong Item,6754.94
R000109,O028731,2026-08-16,Changed Mind,7338.7
R000110,O047380,2026-05-15,Changed Mind,24185.94
R000111,O044498,2026-06-17,Wrong Item,8299.23
R000112,O035585,2026-06-15,Damaged,7302.63
R000113,O049181,2025-01-13,Late Delivery,24415.54
R000114,O023443,2026-03-15,Wrong Item,8538.67
R000115,O018513,2025-07-19,Quality Issue,7847.12
R000116,O026849,2026-01-31,Quality Issue,9046.2
R000117,O014461,2026-03-12,Wrong Item,12249.52
R000118,O014262,2025-09-17,Quality Issue,18081.74
R000119,O041999,2025-11-28,Damaged,1225.93
R000120,O003849,2025-02-28,Wrong Item,9211.11
R000121,O044833,2026-03-31,Damaged,13195.67
R000122,O024753,2025-02-03,Wrong Item,15354.86
R000123,O030785,2026-07-12,Quality Issue,17048.78
R000124,O020244,2025-09-07,Wrong Item,3859.71
R000125,O005298,2026-11-25,Late Delivery,1461.15
R000126,O001506,2026-11-01,Damaged,8185.92
R000127,O045955,2025-12-28,Wrong Item,2651.16
R000128,O044030,2026-04-27,Late Delivery,22258.01
R000129,O031729,2025-03-31,Wrong Item,19196.12
R000130,O034563,2026-08-24,Changed Mind,14699.64
R000131,O010621,2025-11-06,Quality Issue,11384.34
R000132,O037449,2026-04-05,Wrong Item,11936.11
R000133,O042200,2025-09-16,Wrong Item,22658.62
R000134,O048829,2026-09-01,Quality Issue,13324.21
R000135,O045574,2025-05-18,Late Delivery,4288.92
R000136,O004777,2025-05-26,Late Delivery,15411.83
R000137,O023715,2026-04-14,Changed Mind,3541.92
R000138,O035395,2026-08-20,Quality Issue,10166.6
R000139,O033447,2025-02-03,Quality Issue,512.54
R000140,O025821,2026-04-19,Quality Issue,5355.6
R000141,O013846,2026-07-24,Damaged,12774.92
R000142,O016237,2026-12-08,Late Delivery,4206.29
R000143,O025783,2025-08-22,Damaged,18764.17
R000144,O011673,2025-05-25,Late Delivery,4158.65
R000145,O024096,2026-02-17,Damaged,15797.84
R000146,O033075,2026-08-31,Damaged,6805.62
R000147,O031311,2026-02-12,Damaged,23811.97
R000148,O037388,2025-06-19,Late Delivery,2111.21
R000149,O048873,2025-11-27,Changed Mind,5657.54
R000150,O009106,2026-06-14,Quality Issue,1239.68
R000151,O005611,2025-06-10,Wrong Item,7964.7
R000152,O036524,2025-03-29,Late Delivery,8763.93
R000153,O029295,2025-04-10,Changed Mind,9512.39
R000154,O020356,2025-09-23,Changed Mind,6283.2
R000155,O045488,2026-11-25,Wrong Item,9586.4
R000156,O040564,2025-02-02,Quality Issue,13998.84
R000157,O006499,2025-03-13,Changed Mind,11058.6
R000158,O000288,2026-09-27,Damaged,20522.0
R000159,O011454,2026-12-27,Changed Mind,16464.9
R000160,O027087,2025-07-20,Changed Mind,14459.71
R000161,O007360,2025-12-26,Wrong Item,15967.96
R000162,O012328,2025-06-03,Quality Issue,19368.09
R000163,O029779,2025-11-23,Damaged,7357.24
R000164,O028125,2025-04-03,Quality Issue,22774.82
R000165,O022596,2025-12-16,Damaged,12019.51
R000166,O035394,2026-05-13,Damaged,11271.61
R000167,O026277,invalid-date,Late Delivery,19074.96
R000168,O006518,2026-03-16,Late Delivery,17707.69
R000169,O035494,2026-06-20,Late Delivery,23609.74
R000170,O049708,2025-09-03,Quality Issue,16799.5
R000171,O042874,2025-10-20,Quality Issue,15583.22
R000172,O039143,2025-05-22,Damaged,15983.11
R000173,O008070,2025-06-05,Late Delivery,15080.2
R000174,O006816,2026-05-14,Changed Mind,21172.07
R000175,O034558,2026-01-30,Changed Mind,7899.86
R000176,O046791,2026-10-11,Damaged,1039.48
R000177,O025851,2025-10-14,Late Delivery,13642.08
R000178,O008711,2025-06-01,Wrong Item,1452.97
R000179,O045945,2025-07-05,Damaged,14609.46
R000180,O041721,2026-02-11,Late Delivery,16067.76
R000181,O015397,2026-09-25,Changed Mind,21712.98
R000182,O044643,2027-01-05,Late Delivery,20296.64
R000183,O035192,2025-05-09,Damaged,2473.84
R000184,O024093,2026-03-17,Wrong Item,20380.51
R000185,O003491,2025-03-22,Quality Issue,14397.18
R000186,O010633,2026-11-04,Late Delivery,16962.2
R000187,O005854,2025-01-25,Late Delivery,4903.99
R000188,O000643,2026-07-17,Late Delivery,19712.49
R000189,O015081,2026-07-29,Damaged,13137.53
R000190,O024638,2025-08-16,Quality Issue,10135.61
R000191,O023943,2026-08-23,Wrong Item,7010.88
R000192,O046488,2025-06-05,Changed Mind,10254.78
R000193,O045597,2026-01-25,Quality Issue,1173.68
R000194,O004292,2026-07-24,Late Delivery,19906.74
R000195,O038269,2026-01-06,Wrong Item,19494.08
R000196,O999999195,2025-01-10,Late Delivery,18065.17
R000197,O018740,2025-07-09,Quality Issue,5185.13
R000198,O006467,2025-02-25,Late Delivery,3706.06
R000199,O017186,2026-05-23,Damaged,4829.96
R000200,O010896,2026-04-28,Quality Issue,6881.87
R000201,O014428,2025-06-30,Quality Issue,8397.18
R000202,O027220,2026-07-28,Wrong Item,20785.12
R000203,O005239,2025-07-01,Late Delivery,24158.86
R000204,O013058,2026-12-16,Wrong Item,6501.8
R000205,O005648,2025-04-08,Late Delivery,3772.5
R000206,O042387,2026-04-05,Quality Issue,17781.19
R000207,O033605,2026-12-04,Changed Mind,19753.93
R000208,O038092,2026-10-30,Changed Mind,8657.94
R000209,O013430,2026-02-06,Damaged,9018.41
R000210,O005872,2026-12-15,Changed Mind,23269.23
R000211,O048247,2025-03-30,Quality Issue,24811.69
R000212,O034622,2026-01-03,Damaged,20979.45
R000213,O016902,2026-04-05,Quality Issue,20543.76
R000214,O009479,2025-11-21,Changed Mind,13686.4
R000215,O042949,2025-03-06,Wrong Item,21528.39
R000216,O034648,2025-05-08,Quality Issue,19245.45
R000217,O016833,2025-11-16,Late Delivery,4721.34
R000218,O018972,2025-09-14,Damaged,4586.94
R000219,O010991,2026-12-13,Damaged,18104.7
R000220,O011558,2025-03-22,Changed Mind,23076.01
R000221,O004665,2026-05-25,Wrong Item,19587.75
R000222,O000507,2025-02-14,Damaged,23590.76
R000223,O000674,2026-12-01,Late Delivery,18390.52
R000224,O004899,2026-03-19,Changed Mind,623.51
R000225,O047562,2025-03-10,Late Delivery,17036.06
R000226,O049301,2025-12-10,Wrong Item,15662.78
R000227,O003313,2026-01-27,Wrong Item,4923.45
R000228,O026800,2026-07-02,Late Delivery,9680.13
R000229,O033193,2026-02-19,Wrong Item,2142.79
R000230,O035539,2025-04-04,Late Delivery,18192.44
R000231,O023085,2026-12-06,Late Delivery,4836.57
R000232,O034365,2025-05-18,Damaged,7122.91
R000233,O020598,2025-11-04,Late Delivery,18865.12
R000234,O019342,2025-04-21,Late Delivery,13683.02
R000235,O002574,2025-04-25,Quality Issue,4505.87
R000236,O016869,2025-05-24,Late Delivery,19512.71
R000237,O017524,2026-07-30,Damaged,21047.52
R000238,O038289,2025-08-18,Wrong Item,7613.73
R000239,O011942,2025-04-15,Quality Issue,21993.68
R000240,O034594,2025-06-08,Damaged,4110.57
R000241,O023619,2026-09-29,Wrong Item,12375.85
R000242,O031288,2026-01-29,Late Delivery,12243.18
R000243,O024866,2026-11-05,Damaged,399.82
R000244,O031036,2026-03-01,Wrong Item,1457.54
R000245,O047155,2025-10-25,Wrong Item,5780.07
R000246,O026629,2026-03-25,Late Delivery,17207.76
R000247,O018398,2025-01-29,Damaged,8172.35
R000248,O035185,2026-05-01,Damaged,19106.19
R000249,O007354,2025-07-29,Late Delivery,15791.04
R000250,O022315,2026-09-21,Damaged,16249.15
R000251,O014525,2026-05-09,Changed Mind,17506.58
R000252,O048311,2027-01-05,Quality Issue,13126.02
R000253,O032858,2025-07-07,Quality Issue,5966.06
R000254,O001198,2025-07-26,Damaged,17222.94
R000255,O028990,2026-04-27,Damaged,6642.59
R000256,O034285,2025-01-12,Wrong Item,18721.15
R000257,O007972,2026-02-24,Damaged,21929.39
R000258,O035518,2025-08-24,Wrong Item,6074.83
R000259,O029801,2025-07-23,Quality Issue,11113.38
R000260,O042231,2026-07-10,Changed Mind,20861.62
R000261,O044271,2025-10-13,Changed Mind,18546.38
R000262,O001569,2025-07-15,Quality Issue,8182.6
R000263,O032438,2026-02-04,Wrong Item,13923.87
R000264,O017993,2025-12-30,Damaged,15250.5
R000265,O049859,2025-12-21,Late Delivery,14105.79
R000266,O023887,2026-05-12,Damaged,15712.58
R000267,O032142,2026-02-13,Late Delivery,22551.68
R000268,O041327,2026-06-14,Late Delivery,114.76
R000269,O009274,2025-03-23,Quality Issue,10016.97
R000270,O021214,2025-01-28,Wrong Item,11194.82
R000271,O002804,2026-07-25,Damaged,23490.05
R000272,O031673,2025-12-29,Wrong Item,18680.67
R000273,O015418,2025-10-14,Late Delivery,18841.9
R000274,O005476,2026-07-23,Damaged,11890.4
R000275,O006842,2025-01-16,Changed Mind,2703.21
R000276,O027450,2026-11-27,Quality Issue,5015.56
R000277,O014575,2025-10-31,Changed Mind,21702.63
R000278,O001687,2026-12-09,Damaged,7730.62
R000279,O043341,2025-08-08,Wrong Item,23707.63
R000280,O034552,2026-02-26,Quality Issue,8268.41
R000281,O041851,2026-08-25,Late Delivery,24929.69
R000282,O008013,2026-05-03,Damaged,14749.79
R000283,O016685,2026-04-04,Changed Mind,19030.89
R000284,O017087,2026-06-20,Wrong Item,22875.55
R000285,O048798,2025-06-06,Damaged,6685.18
R000286,O040335,2026-03-28,Wrong Item,8465.96
R000287,O039100,2026-11-25,Changed Mind,5505.97
R000288,O011566,2026-11-22,Changed Mind,19525.33
R000289,O018497,2026-04-06,Damaged,23204.96
R000290,O009955,2025-01-27,Quality Issue,24443.08
R000291,O039726,2025-09-11,Late Delivery,11314.72
R000292,O013406,2026-04-02,Wrong Item,6077.57
R000293,O005871,2025-10-08,Changed Mind,6533.08
R000294,O013173,2026-09-28,Changed Mind,13465.44
R000295,O003865,2025-01-19,Damaged,16610.29
R000296,O002530,2026-01-31,Damaged,5097.81
R000297,O038967,2026-02-12,Damaged,7133.99
R000298,O007432,2025-01-16,Changed Mind,20462.93
R000299,O033091,2025-07-25,Quality Issue,15525.82
R000300,O045708,2025-09-03,Quality Issue,23724.07
R000301,O012277,2025-02-05,Damaged,14427.4
R000302,O001841,2025-07-01,Changed Mind,21326.23
R000303,O005507,2026-01-20,Late Delivery,8170.21
R000304,O001292,2025-08-13,Quality Issue,15553.99
R000305,O026411,2025-02-01,Quality Issue,8218.36
R000306,O038184,2025-12-28,Wrong Item,15419.14
R000307,O008541,2025-08-15,Quality Issue,4698.86
R000308,O005047,2026-06-01,Wrong Item,23885.17
R000309,O049098,2025-06-12,Damaged,1789.97
R000310,O007199,2025-03-27,Wrong Item,19343.23
R000311,O044153,2025-05-22,Late Delivery,9108.32
R000312,O028303,2025-03-16,Late Delivery,14690.31
R000313,O033626,2025-09-24,Late Delivery,2203.16
R000314,O017387,2026-08-29,Quality Issue,11621.17
R000315,O036208,2025-05-27,Wrong Item,12968.11
R000316,O037517,2025-06-10,Wrong Item,3037.17
R000317,O001273,2026-11-09,Wrong Item,9601.08
R000318,O041320,2025-04-11,Wrong Item,20227.68
R000319,O021366,2026-02-22,Quality Issue,17531.09
R000320,O004590,2025-07-23,Damaged,19480.55
R000321,O011525,2026-10-11,Damaged,110.19
R000322,O004301,2026-10-16,Damaged,19356.06
R000323,O049482,2025-12-21,Changed Mind,12713.7
R000324,O017085,2026-10-20,Wrong Item,24109.14
R000325,O042955,2025-02-22,Damaged,11008.51
R000326,O047904,2025-11-06,Wrong Item,16559.1
R000327,O019591,2025-08-26,Wrong Item,12104.32
R000328,O038515,2025-08-13,Quality Issue,17009.29
R000329,O023711,2026-12-21,Wrong Item,15874.56
R000330,O017836,2025-03-04,Late Delivery,15531.59
R000331,O043963,2025-07-28,Late Delivery,18783.14
R000332,O037196,2026-07-06,Quality Issue,12228.79
R000333,O039530,2025-10-12,Changed Mind,23310.52
R000334,O003581,2025-11-11,Wrong Item,8137.3
R000335,O031982,2026-12-02,Quality Issue,-500.0
R000336,O008079,2026-06-27,Quality Issue,16716.47
R000337,O013023,2026-02-09,Quality Issue,11221.2
R000338,O019119,2026-11-27,Quality Issue,931.44
R000339,O032524,2026-05-15,Damaged,24025.99
R000340,O017615,2026-08-19,Late Delivery,20933.15
R000341,O029892,2026-11-14,Late Delivery,13517.06
R000342,O035456,2026-10-19,Quality Issue,2304.98
R000343,O017782,2025-09-28,Wrong Item,5864.01
R000344,O022890,2026-07-17,Changed Mind,8833.0
R000345,O044843,2025-08-10,Wrong Item,21376.24
R000346,O015109,2025-10-31,Damaged,10518.07
R000347,O019135,2025-03-31,,7511.15
R000348,O046119,2026-07-20,Changed Mind,24191.9
R000349,O026539,2026-09-03,Changed Mind,21413.41
R000350,O019151,2025-07-03,Changed Mind,2919.61
R000351,O000315,2025-06-06,Changed Mind,6144.49
R000352,O017264,2025-12-02,Damaged,8311.8
R000353,O048146,2026-04-08,Wrong Item,24633.56
R000354,O023368,2026-09-15,Wrong Item,16923.79
R000355,O015617,2026-04-27,Quality Issue,2475.32
R000356,O018092,2026-01-26,Quality Issue,14063.48
R000357,O013486,2025-11-02,Wrong Item,3567.61
R000358,O036901,2026-12-24,Changed Mind,10022.43
R000359,O022209,2025-11-12,Late Delivery,6524.02
R000360,O005618,2026-04-11,Damaged,21213.75
R000361,O011617,2025-11-02,Changed Mind,6432.19
R000362,O013664,2026-03-17,Changed Mind,22897.55
R000363,O037055,2025-10-09,Changed Mind,5793.3
R000364,O045111,2026-05-20,Changed Mind,16629.11
R000365,O001243,2025-10-20,Changed Mind,12230.11
R000366,O017993,2026-06-24,Damaged,22067.93
R000367,O019639,2026-09-05,Wrong Item,13262.1
R000368,O042622,2026-07-05,Changed Mind,12989.09
R000369,O013954,2025-07-22,Quality Issue,4356.4
R000370,O017480,2025-11-26,Changed Mind,6201.7
R000371,O007100,2026-02-21,Quality Issue,4944.13
R000372,O039275,2026-11-14,Quality Issue,23886.43
R000373,O017293,2025-07-10,Changed Mind,22213.85
R000374,O009607,2025-03-09,Changed Mind,6157.89
R000375,O019598,2025-06-14,Changed Mind,15392.31
R000376,O007183,2026-09-06,Late Delivery,22486.26
R000377,O030701,2025-04-09,Damaged,24697.34
R000378,O003790,2026-03-16,Damaged,15498.47
R000379,O017070,2025-07-20,Changed Mind,12881.39
R000380,O009590,2026-04-19,Damaged,3029.27
R000381,O017626,2026-01-23,Quality Issue,1353.47
R000382,O036046,2025-01-15,Changed Mind,8628.16
R000383,O033027,2026-05-19,Late Delivery,21523.65
R000384,O008457,2025-03-20,Damaged,17177.94
R000385,O035155,2026-10-09,Changed Mind,19246.82
R000386,O014643,2025-08-02,Quality Issue,23049.48
R000387,O034693,2026-12-28,Late Delivery,16895.88
R000388,O024754,2025-05-23,Damaged,21899.21
R000389,O044279,2026-09-18,Damaged,10409.96
R000390,O016125,2026-07-12,Quality Issue,24843.59
R000391,O032309,2025-03-07,Damaged,17397.82
R000392,O039807,2026-05-13,Late Delivery,6808.47
R000393,O006650,2025-12-11,Damaged,23377.48
R000394,O009434,2025-03-26,Wrong Item,18675.73
R000395,O000746,2025-01-10,Quality Issue,22316.97
R000396,O034511,2025-12-28,Changed Mind,10042.95
R000397,O039441,2025-07-18,Quality Issue,22343.21
R000398,O041281,2026-06-12,Wrong Item,12190.55
